Wall time,Step,Value
1623430140.0809758,5,6.119775295257568
1623430525.1480634,18,7.159161567687988
1623430707.3251204,24,6.652887344360352
1623431087.567818,40,6.944186210632324
1623431114.3437676,42,7.277706623077393
1623431223.8552263,45,7.417624473571777
1623431414.8693535,53,6.499027729034424
1623431496.6105313,56,6.945981979370117
1623431835.5732107,71,6.018372058868408
1623431919.9772713,74,6.601902008056641
1623432382.402416,94,5.976931095123291
1623432554.257879,102,6.070910453796387
1623432629.991423,105,5.491934299468994
1623432652.9783573,106,5.896022319793701
1623432809.8140142,113,5.787261486053467
1623433092.8118358,126,5.680844783782959
1623433375.895703,139,5.806549072265625
1623433629.457326,150,5.288329124450684
1623433709.0310073,155,5.534194469451904
1623433797.0812047,158,5.736461639404297
1623434007.6296208,167,5.035844802856445
1623434022.3460562,168,5.331609725952148
1623434250.2738593,178,5.390914440155029
1623434349.6547472,183,5.160506248474121
1623434404.2650557,185,5.01078987121582
1623434450.9381986,186,5.251693248748779
1623434517.9917946,190,5.790871620178223
1623434679.0814385,198,5.2331109046936035
1623434849.2274468,206,4.9751811027526855
1623434866.9542503,207,4.8643574714660645
1623434950.359676,212,4.866560935974121
1623435206.8732584,223,4.665843486785889
1623435330.8968997,229,4.706015586853027
1623435438.981743,234,5.020289421081543
1623435509.0041986,237,4.916338920593262
1623435775.218347,249,4.95277214050293
1623435940.5107133,255,4.86251163482666
1623436080.8837025,260,5.121060848236084
1623436186.0965376,267,4.940773010253906
1623436286.3693852,271,5.019721508026123
1623436315.836768,273,4.673988342285156
1623436736.9422016,292,4.392552852630615
1623436874.7133129,297,4.805848121643066
1623436891.4806821,298,4.606805801391602
1623437042.4469469,303,4.798996925354004
1623437119.4170032,308,4.715687274932861
1623437191.0587463,310,4.84128475189209
1623437369.406949,318,4.88952112197876
1623437403.4498007,319,4.846149444580078
1623437620.4466093,330,4.609164237976074
1623437829.7965724,339,4.78533935546875
1623437992.5747743,347,4.934762954711914
